Step(s),Voltage(V),Current_inv(A),SOC_true(%)
180,3.3983,-60.0012,99.5513
181,3.3983,-60.0012,99.5508
182,3.3981,-60.001,99.5503
183,3.398,-60.0009,99.5498
184,3.3979,-60.0009,99.5493
185,3.3978,-60.0009,99.5488
186,3.3977,-60.0008,99.5483
187,3.3976,-60.0009,99.5478
188,3.3975,-60.0009,99.5473
189,3.3975,-60.0009,99.5468
190,3.3973,-60.0008,99.5463
191,3.3972,-60.0008,99.5458
192,3.3971,-60.0008,99.5453
193,3.397,-60.0009,99.5448
194,3.397,-60.0009,99.5443
195,3.3969,-60.001,99.5438
196,3.3967,-60.0012,99.5433
197,3.3966,-60.001,99.5428
198,3.3965,-60.0009,99.5423
199,3.3965,-60.0009,99.5418
200,3.3964,-60.0008,99.5413
201,3.3963,-60.0008,99.5408
202,3.3962,-60.0008,99.5403
203,3.3961,-60.0011,99.5398
204,3.396,-60.0009,99.5393
205,3.3959,-60.001,99.5388
206,3.3958,-60.0009,99.5383
207,3.3957,-60.0009,99.5378
208,3.3956,-60.0009,99.5373
209,3.3955,-60.001,99.5368
210,3.3954,-60.0009,99.5363
211,3.3953,-60.001,99.5358
212,3.3952,-60.0009,99.5353
213,3.3951,-60.0009,99.5348
214,3.395,-60.0007,99.5343
215,3.3949,-60.0007,99.5338
216,3.3948,-60.0009,99.5333
217,3.3947,-60.0009,99.5328
218,3.3946,-60.0009,99.5323
219,3.3946,-60.0007,99.5318
220,3.3945,-60.0008,99.5313
221,3.3944,-60.0008,99.5308
222,3.3943,-60.0008,99.5303
223,3.3942,-60.0009,99.5298
224,3.3941,-60.0009,99.5293
225,3.394,-60.001,99.5288
226,3.3939,-60.001,99.5283
227,3.3938,-60.0009,99.5278
228,3.3937,-60.0009,99.5273
229,3.3936,-60.0008,99.5268
230,3.3935,-60.0008,99.5263
231,3.3935,-60.0007,99.5258
232,3.3933,-60.0007,99.5253
233,3.3932,-60.0007,99.5248
234,3.3932,-60.0007,99.5243
235,3.3931,-60.0006,99.5238
236,3.393,-60.0006,99.5233
237,3.3929,-60.0007,99.5228
238,3.3928,-60.0006,99.5223
239,3.3927,-60.0006,99.5218
240,3.3926,-60.0009,99.5213
241,3.3925,-60.0009,99.5208
242,3.3925,-60.0009,99.5203
243,3.3923,-60.0008,99.5198
244,3.3923,-60.001,99.5193
245,3.3922,-60.0008,99.5188
246,3.3921,-60.0007,99.5183
247,3.392,-60.0006,99.5178
248,3.3919,-60.0009,99.5173
249,3.3918,-60.0008,99.5168
250,3.3918,-60.0007,99.5164
251,3.3917,-60.0007,99.5159
252,3.3915,-60.0008,99.5154
253,3.3915,-60.0008,99.5149
254,3.3914,-60.0008,99.5144
255,3.3913,-60.0008,99.5139
256,3.3912,-60.0007,99.5134
257,3.3911,-60.0007,99.5129
258,3.391,-60.0007,99.5124
259,3.391,-60.0007,99.5119
260,3.3909,-60.0006,99.5114
261,3.3908,-60.0006,99.5109
262,3.3907,-60.0007,99.5104
263,3.3906,-60.0009,99.5099
264,3.3905,-60.0008,99.5094
265,3.3905,-60.0009,99.5089
266,3.3904,-60.0008,99.5084
267,3.3903,-60.0009,99.5079
268,3.3902,-60.0011,99.5074
269,3.3901,-60.0008,99.5069
270,3.39,-60.0009,99.5064
271,3.3899,-60.001,99.5059
272,3.3899,-60.001,99.5054
